Source Name,Sample Name,Characteristics: Organism,Factor Value: Ecotype,Factor Value: Spaceflight,Factor Value: Treatment,Characteristics: organism part,Characteristics: Seed Source,Characteristics: stratification exposure,Protocol REF,Parameter Value: light source,Parameter Value: Hardware,Parameter Value: growth environment,Parameter Value: Growth Time,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature
Atha_Col-0_root_GC_Alight_Rep1_GSM2493759,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day06,Arabidopsis thaliana,Col-0,Ground Control,Light Treatment,Plant Roots,Not Available,6 day,growth protocol,ambient light,petri dish,Earth surface,6 day,sample collection,RNALater,-80 degree Celsius
Atha_Col-0_root_GC_Alight_Rep1_GSM2493759,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day09,Arabidopsis thaliana,Col-0,Ground Control,Light Treatment,Plant Roots,Not Available,6 day,growth protocol,ambient light,petri dish,Earth surface,9 day,sample collection,RNALater,-80 degree Celsius
Atha_Col-0_root_GC_Alight_Rep1_GSM2493759,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day13,Arabidopsis thaliana,Col-0,Ground Control,Light Treatment,Plant Roots,Not Available,6 day,growth protocol,ambient light,petri dish,Earth surface,13 day,sample collection,RNALater,-80 degree Celsius
Atha_Col-0_root_GC_Alight_Rep1_GSM2493759,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day03,Arabidopsis thaliana,Col-0,Ground Control,Light Treatment,Plant Roots,Not Available,6 day,growth protocol,ambient light,petri dish,Earth surface,3 day,sample collection,RNALater,-80 degree Celsius
Atha_Col-0_root_GC_Alight_Rep2_GSM2493760,Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day06,Arabidopsis thaliana,Col-0,Ground Control,Light Treatment,Plant Roots,Not Available,6 day,growth protocol,ambient light,petri dish,Earth surface,6 day,sample collection,RNALater,-80 degree Celsius
Atha_Col-0_root_GC_Alight_Rep2_GSM2493760,Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day09,Arabidopsis thaliana,Col-0,Ground Control,Light Treatment,Plant Roots,Not Available,6 day,growth protocol,ambient light,petri dish,Earth surface,9 day,sample collection,RNALater,-80 degree Celsius
Atha_Col-0_root_GC_Alight_Rep2_GSM2493760,Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day13,Arabidopsis thaliana,Col-0,Ground Control,Light Treatment,Plant Roots,Not Available,6 day,growth protocol,ambient light,petri dish,Earth surface,13 day,sample collection,RNALater,-80 degree Celsius
Atha_Col-0_root_GC_Alight_Rep2_GSM2493760,Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day03,Arabidopsis thaliana,Col-0,Ground Control,Light Treatment,Plant Roots,Not Available,6 day,growth protocol,ambient light,petri dish,Earth surface,3 day,sample collection,RNALater,-80 degree Celsius
Atha_Col-0_root_GC_Alight_Rep3_GSM2493761,Atha_Col-0_root_GC_Alight_Rep3_GSM2493761_Day06,Arabidopsis thaliana,Col-0,Ground Control,Light Treatment,Plant Roots,Not Available,6 day,growth protocol,ambient light,petri dish,Earth surface,6 day,sample collection,RNALater,-80 degree Celsius
Atha_Col-0_root_GC_Alight_Rep3_GSM2493761,Atha_Col-0_root_GC_Alight_Rep3_GSM2493761_Day09,Arabidopsis thaliana,Col-0,Ground Control,Light Treatment,Plant Roots,Not Available,6 day,growth protocol,ambient light,petri dish,Earth surface,9 day,sample collection,RNALater,-80 degree Celsius
