Source Name,Sample Name,Characteristics: Organism,Characteristics: ecotype,Characteristics: Seed Source,Characteristics: Material Type,Characteristics: Launch Mission,Factor Value: Spaceflight,Factor Value: Genotype,Protocol REF,Parameter Value: Hardware,Parameter Value: light cycle,Parameter Value: growth environment,Parameter Value: Growth Medium,Parameter Value: Growth Time,Parameter Value: Quantity of growth medium,Parameter Value: Number of seeds per container,Parameter Value: light regimen,Protocol REF,Comment: Sample Description,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature,Protocol REF,Parameter Value: ionizing radiation,Parameter Value: vehicle,Parameter Value: absorbed radiation dose,Parameter Value: absorbed radiation dose rate,Parameter Value: exposure duration,Parameter Value: ionizing radiation categorized by source
28_FA5_S36_L004_R1_001 (bzip28F_1),GSM4486031,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,bzip28-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS-US Laboratory,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,outer space
28_FB1_S10_L001_R1_001 (bzip28F_2),GSM4486032,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,bzip28-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS-US Laboratory,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,outer space
28_FC5_S21_L002_R1_001 (bzip28F_3),GSM4486033,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,bzip28-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS-US Laboratory,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,outer space
28_FD5_S17_L002_R1_001 (bzip28F_4),GSM4486034,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,bzip28-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS-US Laboratory,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,outer space
28_GA5_S43_L004_R1_001 (bzip28G_1),GSM4486035,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,bzip28-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
28_GB1_S35_L004_R1_001 (bzip28G_2),GSM4486036,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,bzip28-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
28_GC5_S30_L003_R1_001 (bzip28G_3),GSM4486037,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,bzip28-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
28_GD5_S27_L003_R1_001 (bzip28G_4),GSM4486038,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,bzip28-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip28-2_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
60_FA2_S3_L001_R1_001 (bzip60F_1),GSM4486039,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,bzip60-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS-US Laboratory,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip60-2_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,outer space
60_FB3_S2_L001_R1_001 (bzip60F_2),GSM4486040,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,bzip60-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS-US Laboratory,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip60-2_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,outer space
60_FC1_S7_L001_R1_001 (bzip60F_3),GSM4486041,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,bzip60-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS-US Laboratory,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip60-2_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,outer space
60_FD2_S14_L002_R1_001 (bzip60F_4),GSM4486042,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,SpaceX-12,Space Flight,bzip60-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS-US Laboratory,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip60-2_Space flight_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,space radiation,ISS-US Laboratory,3.007 milligray,0.231 milligray per day,13 day,outer space
60_GA2_S22_L002_R1_001 (bzip60G_1),GSM4486043,Arabidopsis thaliana,Col-0,see growth protocol description,Seedlings,Not Applicable,Ground Control,bzip60-2,growth protocol,BRIC-PDFU (Petri Dish Fixation Unit),24 dark hour,ISS Environmental Simulator,"1/2 Murashige and Skoog media supplemented with Gamborgs B5 Vitamins (PhytoTechnology Laboratories), 0.5% sucrose (Sigma-Aldrich), 0.4% Phytagel (Sigma-Aldrich), pH adjusted to 5.7",14 day,6.7 milliliter,70-80,continuous dark (no light) regimen,treatment protocol,bzip60-2_Ground_whole seedlings,sample collection,RNALater,-80 degree Celsius,radiation dosimetry,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
